Name,URL,Main Language,Size
open-3d-viewer,https://github.com/kreier/open-3d-viewer,JavaScript,213028
P1P2MQTT,https://github.com/kreier/P1P2MQTT,C++,71651
p5js,https://github.com/kreier/p5js,JavaScript,47431
PhoneSelector,https://github.com/kreier/PhoneSelector,Swift,10769
physics,https://github.com/kreier/physics,Jupyter Notebook,29138
picow,https://github.com/kreier/picow,Python,10003
pidcodes.github.com,https://github.com/kreier/pidcodes.github.com,SCSS,41780
prime,https://github.com/kreier/prime,Python,497777
prime_gaps_line,https://github.com/kreier/prime_gaps_line,Python,2751
promised-seed,https://github.com/kreier/promised-seed,Python,34500
python2018,https://github.com/kreier/python2018,Mathematica,88576
qtpy-oled,https://github.com/kreier/qtpy-oled,Python,12330
quartz,https://github.com/kreier/quartz,TypeScript,448633
Racer,https://github.com/kreier/Racer,C,59299
rc,https://github.com/kreier/rc,,0
reactivate23,https://github.com/kreier/reactivate23,Java,48048
remote,https://github.com/kreier/remote,JavaScript,42821
reset23,https://github.com/kreier/reset23,Python,108
rfid,https://github.com/kreier/rfid,C++,461139
robotics,https://github.com/kreier/robotics,C++,2522
rp2040,https://github.com/kreier/rp2040,Python,155752
rp2350,https://github.com/kreier/rp2350,Python,4973
rvr,https://github.com/kreier/rvr,Python,22470
rvr_circuitpython,https://github.com/kreier/rvr_circuitpython,Python,42559
saiht-blog,https://github.com/kreier/saiht-blog,HTML,9928
sandwich,https://github.com/kreier/sandwich,Swift,9124
shockdetector,https://github.com/kreier/shockdetector,JavaScript,11564
SoftwareentwicklungSoSe2020_Aufgabe_02,https://github.com/kreier/SoftwareentwicklungSoSe2020_Aufgabe_02,C#,2409
solarmeter,https://github.com/kreier/solarmeter,C++,121132
sre,https://github.com/kreier/sre,C++,231031
ssis.bit,https://github.com/kreier/ssis.bit,Python,33320
ssisolar,https://github.com/kreier/ssisolar,Python,48521
study,https://github.com/kreier/study,Jupyter Notebook,88132
swift2021,https://github.com/kreier/swift2021,Swift,613
SwiftUI_Landmarks,https://github.com/kreier/SwiftUI_Landmarks,Swift,10508
t-display,https://github.com/kreier/t-display,C,2023152
T-Display_S3,https://github.com/kreier/T-Display_S3,,0
t-picoc3,https://github.com/kreier/t-picoc3,Python,3219
T100,https://github.com/kreier/T100,C++,69815
T110,https://github.com/kreier/T110,C++,1259
T200,https://github.com/kreier/T200,C++,9677
T300,https://github.com/kreier/T300,C++,93099
T400,https://github.com/kreier/T400,Python,45122
T410,https://github.com/kreier/T410,Python,433
T80,https://github.com/kreier/T80,C++,1242
temp,https://github.com/kreier/temp,Python,61995
temp.hofkoh.de,https://github.com/kreier/temp.hofkoh.de,JavaScript,19624
text-shaping,https://github.com/kreier/text-shaping,Python,5528
thesis08,https://github.com/kreier/thesis08,TeX,276770
timeline,https://github.com/kreier/timeline,Python,1172458
tripitaka,https://github.com/kreier/tripitaka,HTML,18951116
ultrasonic,https://github.com/kreier/ultrasonic,C++,10451
unsloth,https://github.com/kreier/unsloth,Python,711411
vex,https://github.com/kreier/vex,Python,85109
vex2022,https://github.com/kreier/vex2022,Python,7074
webprogramming2014-2015,https://github.com/kreier/webprogramming2014-2015,HTML,229495
wifi-car-esp8266,https://github.com/kreier/wifi-car-esp8266,Kotlin,45000
Wificar23,https://github.com/kreier/Wificar23,Kotlin,1761
Wificar24,https://github.com/kreier/Wificar24,C++,34435
